TITOLO,VOTANTI,FAVOREVOLI,NON FAVOREVOLI
PARTE I - Punto 24 - Proposta (a),847,809,38
PARTE I - Punto 24 - Proposta (b),846,773,73
PARTE I - Punto 24 - Proposta (c),845,734,111
PARTE I - Punto 24 - Proposta (d),844,822,22
PARTE I - Punto 24 - Proposta (e),847,778,69
PARTE I - Punto 24 - Proposta (f),845,810,35
PARTE I - Punto 25 - Proposta (a),844,821,23
PARTE I - Punto 25 - Proposta (b),842,808,34
PARTE I - Punto 25 - Proposta (c),841,801,40
PARTE I - Punto 25 - Proposta (d),840,804,36
PARTE I - Punto 25 - Proposta (e),844,828,16
PARTE I - Punto 25 - Proposta (f),843,807,36
TITOLO,VOTANTI,FAVOREVOLI,NON FAVOREVOLI
PARTE I - Punto 26 - Proposta (a),843,810,33
PARTE I - Punto 27 - Proposta (a),842,809,33
PARTE I - Punto 27 - Proposta (b),841,810,31
PARTE I - Punto 27 - Proposta (c),840,817,23
PARTE I - Punto 27 - Proposta (d),840,805,35
PARTE I - Punto 27 - Proposta (e),827,682,145
PARTE I - Punto 28 - Proposta (a),835,731,104
PARTE I - Punto 28 - Proposta (b),836,766,70
PARTE I - Punto 28 - Proposta (c),839,789,50
PARTE I - Punto 28 - Proposta (d),832,758,74
PARTE I - Punto 28 - Proposta (e),830,786,44
PARTE I - Punto 29 - Proposta (a),831,748,83
TITOLO,VOTANTI,FAVOREVOLI,NON FAVOREVOLI
PARTE I - Punto 29 - Proposta (b),830,794,36
PARTE I - Punto 30 - Proposta (a),835,791,44
PARTE I - Punto 30 - Proposta (b),835,789,46
PARTE I - Punto 30 - Proposta (c),826,672,154
PARTE I - Punto 30 - Proposta (d),822,637,185
PARTE I - Punto 30 - Proposta (e),829,749,80
PARTE I - Punto 31 - Proposta (a),832,764,68
PARTE I - Punto 31 - Proposta (b),827,700,127
PARTE I - Punto 31 - Proposta (c),834,786,48
PARTE I - Punto 31 - Proposta (d),829,797,32
PARTE I - Punto 32 - Proposta (a),830,796,34
PARTE I - Punto 32 - Proposta (b),830,816,14
TITOLO,VOTANTI,FAVOREVOLI,NON FAVOREVOLI
PARTE I - Punto 32 - Proposta (c),824,793,31
PARTE I - Punto 33 - Proposta (a),820,759,61
PARTE I - Punto 33 - Proposta (b),825,789,36
PARTE I - Punto 34 - Proposta (a),819,747,72
PARTE I - Punto 34 - Proposta (b),819,762,57
PARTE I - Punto 34 - Proposta (c),819,794,25
PARTE I - Punto 36 - Proposta (a),824,772,52
PARTE I - Punto 36 - Proposta (b),817,757,60
PARTE I - Punto 36 - Proposta (c),818,720,98
PARTE I - Punto 36 - Proposta (d),813,692,121
PARTE I - Punto 36 - Proposta (e),798,710,88
PARTE I - Punto 38 - Proposta (a),821,788,33
TITOLO,VOTANTI,FAVOREVOLI,NON FAVOREVOLI
PARTE I - Punto 38 - Proposta (b),819,779,40
PARTE I - Punto 38 - Proposta (c),818,742,76
PARTE I - Punto 39 - Proposta (a),819,799,20
