titolo,parte,punto,proposta,id_proposta,votanti,favorevoli,non_favorevoli
PARTE I - Punto 24 - Proposta (a),1,24,a,24.a,847,809,38
PARTE I - Punto 24 - Proposta (b),1,24,b,24.b,846,773,73
PARTE I - Punto 24 - Proposta (c),1,24,c,24.c,845,734,111
PARTE I - Punto 24 - Proposta (d),1,24,d,24.d,844,822,22
PARTE I - Punto 24 - Proposta (e),1,24,e,24.e,847,778,69
PARTE I - Punto 24 - Proposta (f),1,24,f,24.f,845,810,35
PARTE I - Punto 25 - Proposta (a),1,25,a,25.a,844,821,23
PARTE I - Punto 25 - Proposta (b),1,25,b,25.b,842,808,34
PARTE I - Punto 25 - Proposta (c),1,25,c,25.c,841,801,40
PARTE I - Punto 25 - Proposta (d),1,25,d,25.d,840,804,36
PARTE I - Punto 25 - Proposta (e),1,25,e,25.e,844,828,16
PARTE I - Punto 25 - Proposta (f),1,25,f,25.f,843,807,36
PARTE I - Punto 26 - Proposta (a),1,26,a,26.a,843,810,33
PARTE I - Punto 27 - Proposta (a),1,27,a,27.a,842,809,33
PARTE I - Punto 27 - Proposta (b),1,27,b,27.b,841,810,31
PARTE I - Punto 27 - Proposta (c),1,27,c,27.c,840,817,23
PARTE I - Punto 27 - Proposta (d),1,27,d,27.d,840,805,35
PARTE I - Punto 27 - Proposta (e),1,27,e,27.e,827,682,145
PARTE I - Punto 28 - Proposta (a),1,28,a,28.a,835,731,104
PARTE I - Punto 28 - Proposta (b),1,28,b,28.b,836,766,70
PARTE I - Punto 28 - Proposta (c),1,28,c,28.c,839,789,50
PARTE I - Punto 28 - Proposta (d),1,28,d,28.d,832,758,74
PARTE I - Punto 28 - Proposta (e),1,28,e,28.e,830,786,44
PARTE I - Punto 29 - Proposta (a),1,29,a,29.a,831,748,83
PARTE I - Punto 29 - Proposta (b),1,29,b,29.b,830,794,36
PARTE I - Punto 30 - Proposta (a),1,30,a,30.a,835,791,44
PARTE I - Punto 30 - Proposta (b),1,30,b,30.b,835,789,46
PARTE I - Punto 30 - Proposta (c),1,30,c,30.c,826,672,154
PARTE I - Punto 30 - Proposta (d),1,30,d,30.d,822,637,185
PARTE I - Punto 30 - Proposta (e),1,30,e,30.e,829,749,80
PARTE I - Punto 31 - Proposta (a),1,31,a,31.a,832,764,68
